,Father,Son
p0001,65.04851,59.77827
p0002,63.25094,63.21404
p0003,64.95532,63.34242
p0004,65.7525,62.79238
p0005,61.13723,64.28113
p0006,63.02254,64.24221
p0007,65.37053,64.08231
p0008,64.72398,63.99574
p0009,66.06509,64.61338
p0010,66.96738,63.97944
p0011,59.008,65.24451
p0012,62.93203,65.35102
p0013,63.67063,65.67992
p0014,64.07386,65.43664
p0015,64.68851,65.29391
p0016,65.15466,64.79017
p0017,66.37353,65.01881
p0018,65.57704,65.5464
p0019,67.36765,65.08145
p0020,66.75929,65.49008
p0021,67.79764,65.1352
p0022,69.5348,65.51262
p0023,62.54014,66.58436
p0024,63.81016,66.37842
p0025,64.4565,66.14782
p0026,64.9665,65.97259
p0027,64.70662,65.95887
p0028,65.73829,66.45202
p0029,65.50141,65.74797
p0030,65.55416,65.97164
p0031,66.90294,65.90548
p0032,66.57388,65.90773
p0033,66.53198,66.47103
p0034,67.90613,65.75023
p0035,68.29198,66.34666
p0036,67.74123,66.08577
p0037,68.46917,66.28037
p0038,69.38327,66.34354
p0039,71.81791,66.41711
p0040,62.41615,67.22558
p0041,64.49083,67.46394
p0042,64.4876,66.99362
p0043,63.92303,66.76647
p0044,65.44592,67.0342
p0045,65.02977,66.84316
p0046,65.67038,69.2989
p0047,68.66078,69.09114
p0048,66.54597,61.66358
p0049,64.85954,65.7288
p0050,69.60692,68.98012
p0051,64.8135,67.37397
p0052,65.32703,67.17459
p0053,65.83169,67.06712
p0054,65.83427,67.29446
p0055,65.56135,67.62665
p0056,65.8688,67.47923
p0057,65.77339,66.92162
p0058,67.09116,67.58324
p0059,66.61374,67.21191
p0060,67.41075,66.81629
p0061,67.27716,67.24268
p0062,66.61134,67.51036
p0063,68.17412,67.57026
p0064,67.80555,67.17258
p0065,68.32529,67.54129
p0066,68.07787,67.37113
p0067,68.96795,67.59714
p0068,68.9255,67.25104
p0069,69.60862,66.82533
p0070,70.35646,66.72679
p0071,70.00643,66.92996
p0072,72.75425,67.64847
p0073,62.82147,68.04291
p0074,62.86855,68.4885
p0075,63.91261,68.04777
p0076,64.54118,68.34573
p0077,64.51906,68.33829
p0078,66.02688,68.3138
p0079,65.81011,68.18333
p0080,66.01812,68.51056
p0081,65.53742,68.12014
p0082,65.73346,68.31563
p0083,66.77424,68.04774
p0084,66.67869,68.61273
p0085,66.97585,67.9425
p0086,66.94021,68.08381
p0087,66.84575,68.36754
p0088,67.12008,67.85181
p0089,67.74181,68.19806
p0090,68.27194,68.01897
p0091,67.60691,68.23431
p0092,68.44737,67.89742
p0093,67.65832,68.62409
p0094,68.71193,67.97912
p0095,69.32025,68.2668
p0096,68.7403,67.94192
p0097,69.13395,68.62072
p0098,69.34995,68.23857
p0099,68.6297,68.58554
p0100,69.58258,68.06568
p0101,70.39517,68.38188
p0102,71.19284,67.75943
p0103,70.82429,68.59991
p0104,71.65367,67.91483
p0105,73.28133,67.83861
p0106,63.03753,68.77562
p0107,63.66428,69.60782
p0108,65.38311,69.69143
p0109,64.60205,69.41491
p0110,66.40661,69.68931
p0111,65.76985,69.20775
p0112,65.66729,69.45627
p0113,66.05712,69.59614
p0114,66.54635,69.27994
p0115,66.5723,69.52338
p0116,66.64876,68.74406
p0117,67.71899,69.30987
p0118,68.48726,69.22571
p0119,67.82769,69.24073
p0120,67.55801,69.4912
p0121,68.07763,69.11921
p0122,69.16715,68.93751
p0123,68.693,69.45774
p0124,68.61779,69.27599
p0125,68.64797,69.22869
p0126,68.61666,68.70547
p0127,70.36485,69.34638
p0128,70.0099,68.87137
p0129,70.13984,69.30262
p0130,70.2073,69.1579
p0131,71.28063,69.62727
p0132,70.90445,69.11014
p0133,72.19036,69.09596
p0134,74.96203,69.03281
p0135,64.88218,69.85677
p0136,65.55174,70.06274
p0137,65.65889,69.89765
p0138,65.92826,70.26185
p0139,65.94198,70.52663
p0140,67.43646,70.52744
p0141,67.48444,69.7865
p0142,67.61344,70.36684
p0143,68.4518,69.97604
p0144,68.49456,69.83308
p0145,68.1056,70.69951
p0146,69.48308,70.16871
p0147,69.07389,70.11632
p0148,69.39251,69.95433
p0149,69.44294,70.31279
p0150,69.52131,69.80903
p0151,70.15463,69.96792
p0152,69.86911,69.93939
p0153,70.44394,69.73486
p0154,70.85393,70.08397
p0155,71.30074,70.01015
p0156,72.13978,70.65025
p0157,72.19045,70.01253
p0158,75.43393,70.09077
p0159,64.51788,71.34319
p0160,66.36335,70.81542
